 ,Area,Mean,Min,Max,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
109,1.403,48.292,22.680,115.000,-66.801,0.420,6.482,436.000,692.000,113.199,4.441E-16,0.000,0.000,NaN,6.482
110,1.675,26.435,4.000,50.000,-65.556,0.354,7.713,397.000,864.000,114.444,0.000,0.000,0.000,NaN,7.713
111,1.449,46.757,16.776,94.000,-37.235,0.408,6.681,194.000,937.000,142.765,0.000,0.000,0.000,NaN,6.681
112,1.766,47.416,7.914,131.548,-40.764,0.334,8.146,75.000,843.000,139.236,0.000,0.000,0.000,NaN,8.146
113,1.449,57.426,31.566,109.958,-38.367,0.429,6.513,428.000,1023.000,141.633,0.000,0.000,0.000,NaN,6.513
114,1.584,68.792,34.941,100.000,-29.539,0.370,7.337,226.000,997.000,150.461,0.000,0.000,0.000,NaN,7.337
115,1.449,26.982,0.697,100.000,-45.000,0.415,6.620,153.000,1013.000,135.000,0.000,0.000,0.000,NaN,6.620
116,1.222,22.382,0.000,66.000,-94.399,0.499,5.548,212.000,1077.000,85.601,5.551E-17,0.000,0.000,NaN,5.548
117,1.358,49.725,2.069,203.000,-105.945,0.445,6.196,0.000,769.000,74.055,0.000,0.000,0.000,NaN,6.196
118,1.132,39.873,10.000,85.000,-60.255,0.537,5.146,490.000,1065.000,119.745,0.000,0.000,0.000,NaN,5.146
119,1.222,38.641,7.680,77.130,-67.380,0.502,5.532,434.000,1054.000,112.620,0.000,0.000,0.000,NaN,5.532
120,0.905,37.371,6.424,82.665,-71.565,0.698,4.037,548.000,1104.000,108.435,0.000,0.000,0.000,NaN,4.037
121,1.403,39.523,2.600,100.000,-42.274,0.441,6.326,560.000,1123.000,137.726,0.000,0.000,0.000,NaN,6.326
122,2.037,47.504,5.037,113.149,-55.222,0.294,9.325,572.000,1212.000,124.778,0.000,0.000,0.000,NaN,9.325
123,2.399,17.233,0.000,87.747,-26.075,0.243,11.133,463.000,1334.000,153.925,0.000,0.000,0.000,NaN,11.133
124,2.082,33.706,0.316,99.000,-54.904,0.283,9.622,360.000,1170.000,125.096,0.000,0.000,0.000,NaN,9.622
125,1.630,40.929,0.000,116.000,-88.363,0.369,7.450,377.000,1298.000,91.637,0.000,0.000,0.000,NaN,7.450
126,1.675,35.324,0.000,104.000,-90.000,0.359,7.660,344.000,1270.000,90.000,0.000,0.000,0.000,NaN,7.660
127,1.720,63.662,11.625,167.000,-67.620,0.353,7.823,448.000,1415.000,112.380,0.000,0.000,0.000,NaN,7.823
128,2.173,54.325,12.455,117.034,-46.736,0.277,9.934,566.000,1211.000,133.264,0.000,0.000,0.000,NaN,9.934
129,1.449,29.901,0.097,131.000,-82.648,0.412,6.650,807.000,1369.000,97.352,0.000,0.000,0.000,NaN,6.650
130,1.720,49.348,8.459,105.135,-97.696,0.343,7.944,851.000,1427.000,82.304,0.000,0.000,0.000,NaN,7.944
131,1.992,43.299,12.633,127.000,-35.538,0.299,9.151,529.000,1568.000,144.462,0.000,0.000,0.000,NaN,9.151
132,1.539,42.363,1.146,113.000,-49.970,0.401,6.947,636.000,1508.000,130.030,4.441E-16,0.000,0.000,NaN,6.947
133,2.309,43.835,4.160,94.000,-83.157,0.253,10.715,751.000,1536.000,96.843,0.000,0.000,0.000,NaN,10.715
134,2.761,59.853,9.280,131.844,-74.578,0.212,12.801,679.000,1547.000,105.422,0.000,0.000,0.000,NaN,12.801
135,1.584,49.030,25.664,77.169,-37.875,0.376,7.278,593.000,1635.000,142.125,0.000,0.000,0.000,NaN,7.278
136,1.222,85.940,15.462,232.000,-87.797,0.501,5.536,597.000,1697.000,92.203,0.000,0.000,0.000,NaN,5.536
137,1.539,45.529,21.424,149.000,-47.490,0.403,6.927,739.000,1769.000,132.510,4.441E-16,0.000,0.000,NaN,6.927
138,1.720,83.286,46.844,144.000,-57.171,0.351,7.849,825.000,1723.000,122.829,0.000,0.000,0.000,NaN,7.849
139,1.268,56.693,30.481,109.000,-107.103,0.475,5.788,858.000,1791.000,72.897,0.000,0.000,0.000,NaN,5.788
140,1.539,51.116,17.493,89.028,-58.736,0.398,6.970,839.000,1639.000,121.264,4.441E-16,0.000,0.000,NaN,6.970
141,1.449,55.759,22.548,112.224,-38.367,0.429,6.513,883.000,1664.000,141.633,0.000,0.000,0.000,NaN,6.513
142,2.173,70.001,34.164,131.000,-113.839,0.273,10.002,940.000,1799.000,66.161,0.000,0.000,0.000,NaN,10.002
143,2.128,54.872,15.125,129.342,-51.147,0.276,9.836,757.000,1867.000,128.853,0.000,0.000,0.000,NaN,9.836
144,1.584,48.221,11.100,113.000,-55.840,0.384,7.200,743.000,1767.000,124.160,4.441E-16,0.000,0.000,NaN,7.200
145,1.675,57.270,12.000,151.000,-90.000,0.359,7.660,886.000,1935.000,90.000,0.000,0.000,0.000,NaN,7.660
146,1.947,75.424,43.884,112.510,-54.782,0.312,8.855,1010.000,1896.000,125.218,8.882E-16,0.000,0.000,NaN,8.855
147,1.494,43.212,10.000,114.000,-90.000,0.405,6.809,998.000,1995.000,90.000,0.000,0.000,0.000,NaN,6.809
148,2.128,75.846,25.611,137.000,-132.357,0.279,9.790,1039.000,2001.000,47.643,0.000,0.000,0.000,NaN,9.790
149,1.947,49.962,14.429,85.857,-120.256,0.311,8.868,1151.000,1933.000,59.744,0.000,0.000,0.000,NaN,8.868
150,1.856,48.502,3.250,80.700,-92.862,0.321,8.521,1118.000,1891.000,87.138,0.000,0.000,0.000,NaN,8.521
151,1.268,39.934,9.444,84.000,-100.491,0.467,5.842,1164.000,1861.000,79.509,2.220E-16,0.000,0.000,NaN,5.842
152,1.313,72.608,54.000,130.000,-94.086,0.462,5.973,1100.000,1747.000,85.914,0.000,0.000,0.000,NaN,5.973
153,1.630,60.247,10.343,143.000,-113.629,0.371,7.432,880.000,2043.000,66.371,0.000,0.000,0.000,NaN,7.432
